song_code,song_name,artist_name,artist2_name
s0267,"Oh Boy",Cam'Ron,"Juelz Santana"
s0536,"Old Thing Back",Matoma,"The Notorious B.I.G."
s0082,"On The Road","Post Malone","Meek Mill"
s0003,"Ooh Ahh (My Life Be like)",Grits,TobyMac
s0177,"Ooh La La",Faces,
s0423,"Open the Gate","Zach Bryan",
s0353,Otro,"Myke Towers",
s0737,"Out There","Luke Combs",
s0294,Outkast,ATLiens,
s0909,"Outlaw State of Mind","Chris Stapleton",
s0339,"Outlaws Like Us","Riley Green",
s0070,"Outta Control - Remix","50 Cent","Mobb Deep"
s0460,"Pa' Que Retozen","Tego Calderón",
s0053,"Padre Tiempo","Eladio Carrion",
s0046,"Palmetto Rose","Jason Isbell",
s0220,"Papa Dios Me Dijo",""Secreto ""El Famoso Biberon"""",
s0467,Paradise,"Dermot Kennedy",MEDUZA
s0056,"Party Like a Rock Star","Shop Boyz",
s0469,"Party On Fifth Ave.","Mac Miller",
s0107,PASIEMPRE,Tainy,Arcángel
s0363,"Patria (Motherland)","Rubén Blades",
s0409,"Patty Pinblett Entrancm",Various,
s0597,"Pegao / Me Miro y La Mire",Omega,
s0262,"Pensando En Ti","Dimension Latina",
s0191,Pepas,Farruko,
s0767,"Pepas - David Guetta Remix",Farruko,
s0632,"Pimp Juice",Nelly,
s0661,"Pinky Ring","Miky Woodz",
s0058,"Play With Fire","War Hall",
s0483,"Please Don't Go","Michael Posner",
s0642,Plebada,"El Alfa x Peso Pluma",
s0238,"Porque Tengo Cuarto","Lapiz Conciente",
s0699,"Pour It Up",Rihanna,
s0716,"Pour Some Sugar On Me","Def Leppard",
s0365,"Praise God","Kanye West",
s0849,"Prime Time",BigXthaplug,
s0614,"Primera Cita",Servando,
s0805,"Public Service Announcement",Jay-Z,
s0374,"Public Service Announcment",Jay-Z,
s0413,"Pump It","Black Eyed Peas",
s0010,"Purple Haze","Jimi Hendrix",
s0020,"Put On",Jeezy,"Kanye West"
s0496,"Que No (Remix)","El Alfa",
s0639,"Que Piquete","Polo Joa",
s0592,"Quien (TV Remix)",Blessd,
s0874,"Quienes Son Ustedes","Eladio Carrion",
s0165,"RACKS BLUE",Future,
s0688,"Raindrops (Insane)","Metro Boomin","Travis Scott"
s0310,Rambo,"Bryson Tiller",
s0492,Ready,"Lil Ba",
s0398,"Real Guerrero - Remix",Farruko,Secreto
s0709,"Real Joseador",""Secreto ""El Famoso Biberon"""",
s0214,"Really Got It",Jerreau,
s0490,Reborn,"Kid Cudi",
s0487,red,HARDY,"Morgan Wallen"
s0668,Redbone,"Childish Gambino",
s0200,Remedy,Seether,
s0889,"Remember When",Chevelle,
s0656,Renegade,Styx,
s0014,Replica,CJ,"El Alfa"
s0188,Repórtense,"Don Omar",
